platform,launch_year,parent_company,content_focus,business_model,reporting_date,subscribers_millions,quarterly_revenue_usd_millions,quarterly_profit_usd_millions,quarterly_eps_usd,annual_content_spend_usd_millions,annual_content_spend_growth_pct,ad_revenue_2025_usd_millions,ad_revenue_2026_projection_usd_millions,free_cash_flow_2025_usd_millions,free_cash_flow_2026_projection_usd_millions,projected_2026_revenue_usd_millions,projected_2026_operating_margin_pct,key_metrics,data_sources,annual_platform_revenue_2025_usd_millions,streaming_hours_2025_billions,streaming_hours_growth_pct,roku_channel_tv_streaming_share_pct,projected_2026_platform_revenue_usd_millions,projected_platform_revenue_growth_pct,projected_2026_subscribers_millions,sports_rights_spend_2026_usd_millions,sports_rights_global_share_pct,streaming_revenue_q4_usd_millions,streaming_revenue_growth_pct,monthly_streams_millions,streams_growth_pct,monthly_hours_watched_millions,monthly_hours_growth_pct,peak_concurrent_viewers_millions
Netflix,2007,Netflix Inc.,"Original series, films, licensed content",Subscription + Ads,2026-01-19,325.0,12050.0,2410.0,0.56,20000.0,10.0,1500.0,3000.0,1870.0,11000.0,51200.0,31.5,"325M subscribers, $20B content spend 2026, ad revenue doubling","Netflix Q4 2025 Earnings, Variety, Yahoo Finance [citation:5]",,,,,,,,,,,,,,,,
Disney+,2019,The Walt Disney Company,"Family, Marvel, Star Wars, National Geographic",Subscription + Ads,2026-02-07,126.0,,,,,,,,,,,,Analyst forecast: 284M subscribers by 2026,Digital TV Research via IMDb [citation:9],,,,,,,284.2,,,,,,,,,
Hulu,2008,The Walt Disney Company,"TV shows, next-day broadcast",Subscription + Ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Prime Video,2006,Amazon.com Inc.,"Original series, movies, sports",Prime bundle + Subscription,2026-02-06,,,,,,,,,,,,,Largest sports rights spender 2026: $3.8B,Ampere Analysis via The Wrap/IMDb [citation:3],,,,,,,,3800.0,27.0,,,,,,,
Paramount+,2021,Paramount Global,"Nickelodeon, CBS, Showtime",Subscription + Ads,2026-02-06,,,,,,,,,,,,,Sports rights: 8% of global streaming sports spend,Ampere Analysis [citation:3],,,,,,,,1136.0,8.0,,,,,,,
Peacock,2020,Comcast,NBCUniversal content,Subscription + Ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple TV+,2019,Apple Inc.,"Original series, films",Subscription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max,2020,Warner Bros. Discovery,"HBO, Discovery, Warner Bros.",Subscription + Ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roku,2008,Roku Inc.,"FAST platform, advertising",AVOD + Transactional,2026-02-11,98.0,1395.0,80.5,0.53,,,,,,,5500.0,,"First full-year profit, 145.6B streaming hours","Roku Q4 2025 Earnings, Investing.com, Yahoo Finance [citation:1][citation:10]",,145.6,15.0,6.3,4890.0,18.0,,,,,,,,,,
YouTube TV,2017,Google,"User-generated, sports",AVOD + Subscription,2026-02-06,,,,,,,,,,,,,Sports rights: 14% of global streaming sports spend,Ampere Analysis [citation:3],,,,,,,,1988.0,14.0,,,,,,,
Tubi,2014,Fox Corporation,"FAST, library content",AVOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pluto TV,2014,Paramount Global,"FAST, library content",AVOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
